,price,rating,screen_size,brand,tv_size,tv_type,resolution,pixels,hd,is_smart,led_type,resolution_type,screen_pixels,has_wifi,has_ethernet,num_speakers,speaker_output,processor_core,processor_ram,processor_inbuilt_storage,is_ultra_slim,viewing_angle,num_hdmi_ports,num_usb_ports
987,19999,53,40.0,infinix,40in, LED TV,Full HD, 1920x1080pixels,Full HD,1,LED,missing,1920x1080,1.0,1.0,4,36.0,,,,0.0,170.0,3.0,2.0
988,8500,44,32.0,adsun,32in, LED TV,1366x768pixels,missing,HD,1,LED,missing,1366x768,1.0,1.0,2,20.0,4.0,1,8,,,2.0,2.0
989,11490,49,32.0,akai,32in, LED TV,1366x768pixels,missing,HD,1,LED,missing,1366x768,1.0,1.0,2,20.0,,1,8,0.0,178.0,2.0,2.0
990,16990,56,43.0,akai,43in, LED TV,Full HD, 1920x1080pixels,Full HD,1,LED,missing,1920x1080,1.0,0.0,,20.0,,1,8,0.0,178.0,3.0,2.0
991,19490,54,43.0,vg,43in, LED TV,Full HD, 1920x1080pixels,Full HD,1,LED,missing,1920x1080,1.0,1.0,2,24.0,4.0,1,8,0.0,178.0,2.0,2.0
992,10890,46,32.0,sansui,32in, LED TV,1366x768pixels,missing,HD,1,LED,missing,1366x768,1.0,1.0,2,20.0,4.0,,,0.0,178.0,2.0,2.0
993,6990,34,24.0,sansui,24in, LED TV,missing,1366x768pixels,missing,0,LED,missing,1366x768,,,2,20.0,4.0,,,0.0,178.0,2.0,2.0
994,59800,68,65.0,bpl,65in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,0.0,2,,,,,0.0,178.0,3.0,2.0
995,28999,71,49.61,compaq,49.61in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,1.0,2,24.0,,2,16,0.0,178.0,3.0,2.0
996,36999,73,57.48,compaq,57.48in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,1.0,2,24.0,,2,16,0.0,178.0,3.0,2.0
997,18999,59,40.0,compaq,40in, LED TV,Full HD, 1920x1080pixels,Full HD,1,LED,missing,1920x1080,1.0,1.0,2,24.0,,1.5,8,0.0,178.0,3.0,2.0
998,12999,52,32.0,compaq,32in, LED TV,1366x768pixels,missing,HD,1,LED,missing,1366x768,1.0,1.0,2,24.0,,1.5,8,0.0,178.0,3.0,2.0
