,price,rating,screen_size,brand,tv_size,tv_type,resolution,pixels,hd,is_smart,led_type,resolution_type,screen_pixels,has_wifi,has_ethernet,num_speakers,speaker_output,processor_core,processor_ram,processor_inbuilt_storage,is_ultra_slim,viewing_angle,num_hdmi_ports,num_usb_ports
881,42999,71,55.0,vu,55in, QLED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,QLED,4K Resolution,3840x2160,1.0,1.0,4,40.0,4.0,2,16,0.0,178.0,4.0,2.0
882,413990,84,77.0,sony,77in, OLED TV,4K Resolution, 3480x2160pixels,Ultra HD,1,missing,4K Resolution,3480x2160,1.0,1.0,5,50.0,,,16,0.0,178.0,4.0,2.0
883,46999,72,55.0,toshiba,55in, QLED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,1.0,3,49.0,,2,16,0.0,178.0,3.0,2.0
884,32999,69,50.0,toshiba,50in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,1.0,2,24.0,,2,16,0.0,178.0,3.0,2.0
885,69999,75,65.0,toshiba,65in, QLED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,1.0,3,49.0,4.0,2,16,0.0,178.0,3.0,2.0
886,9999,47,32.0,hyundai,32in, LED TV,1366x768pixels,missing,HD,1,LED,missing,1366x768,1.0,1.0,2,20.0,,1,8,0.0,178.0,2.0,2.0
887,8940,51,32.0,karbonn,32in, LED TV,1366x768pixels,missing,HD,1,LED,missing,1366x768,1.0,1.0,2,20.0,,1,8,0.0,178.0,2.0,2.0
888,23999,69,43.0,coocaa,43in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,1.0,2,30.0,,2,16,0.0,178.0,3.0,2.0
889,7990,34,32.0,nvy,32in, LED TV,1366x768pixels,missing,HD,0,LED,missing,1366x768,0.0,1.0,2,20.0,,,,0.0,178.0,2.0,2.0
890,56990,66,55.0,lg,55in, LED TV,4K Resolution, 3840x2160pixels,missing,1,LED,4K Resolution,3840x2160,1.0,1.0,2,20.0,,,,0.0,178.0,2.0,2.0
891,37999,64,55.0,toshiba,55in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,1.0,2,24.0,,,,0.0,178.0,3.0,2.0
892,7999,47,32.0,kevin,32in, LED TV,1366x768pixels,missing,missing,1,LED,missing,1366x768,1.0,1.0,2,20.0,,0.5,4,0.0,178.0,2.0,2.0
893,32999,71,55.0,coocaa,55in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,1.0,2,30.0,,2,16,0.0,178.0,3.0,2.0
894,30499,63,50.0,hisense,50in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,1.0,2,20.0,,,,0.0,178.0,3.0,2.0
895,27999,61,43.0,toshiba,43in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,1.0,2,24.0,,,,0.0,178.0,3.0,2.0
896,99999,70,75.0,hisense,75in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,1.0,2,36.0,,,,0.0,178.0,3.0,2.0
897,6690,33,24.0,karbon,24in, LED TV,1366x768pixels,missing,HD,0,LED,missing,1366x768,0.0,1.0,2,20.0,,,,0.0,178.0,2.0,2.0
898,34999,68,55.0,hisense,55in, LED TV,4K Resolution, 3480x2160pixels,Ultra HD,1,LED,4K Resolution,3480x2160,1.0,1.0,2,20.0,,,,0.0,178.0,3.0,2.0
899,55490,77,65.0,xiaomi,65in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,1.0,2,25.0,,3,32,0.0,178.0,3.0,2.0
900,44990,76,55.0,xiaomi,55in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,1.0,2,25.0,,3,32,0.0,178.0,3.0,2.0
901,19499,44,32.0,lg,32in, LED TV,1366x768pixels,missing,Full HD,1,LED,missing,1366x768,1.0,1.0,2,20.0,,,,0.0,178.0,2.0,1.0
902,38990,61,50.0,tcl,50in, LED TV,4K Resolution, 3840x2160pixels,missing,1,LED,4K Resolution,3840x2160,1.0,0.0,2,30.0,,,,0.0,178.0,3.0,1.0
903,139990,79,65.0,tcl,65in, LED TV,4K Resolution, 3840x2160pixels,missing,1,QLED,4K Resolution,3840x2160,1.0,1.0,,60.0,,,,0.0,178.0,4.0,2.0
904,69990,67,65.0,tcl,65in, LED TV,4K Resolution, 3480x2160pixels,missing,1,QLED,4K Resolution,3480x2160,1.0,1.0,2,30.0,,,,0.0,178.0,3.0,2.0
905,149990,73,75.0,tcl,75in, LED TV,4K Resolution, 3480x2160pixels,Ultra HD,1,QLED,4K Resolution,3480x2160,1.0,1.0,2,30.0,,,,0.0,178.0,3.0,2.0
906,65990,65,65.0,tcl,65in, LED TV,4K Resolution, 3840x2160pixels,missing,1,LED,4K Resolution,3840x2160,1.0,0.0,2,30.0,,,,0.0,178.0,3.0,1.0
907,33990,52,43.0,panasonic,43in, LED TV,Full HD, 1920x1080pixels,missing,1,LED,missing,1920x1080,1.0,1.0,2,20.0,,,,0.0,178.0,2.0,2.0
908,7690,37,32.0,karbon,32in, LED TV,missing,1366x768pixels,HD,0,LED,missing,1366x768,,,2,20.0,,,,0.0,178.0,2.0,2.0
909,54990,65,55.0,tcl,55in, QLED TV,4K Resolution, 3480x2160pixels,Ultra HD,1,QLED,4K Resolution,3480x2160,1.0,1.0,2,30.0,,,,0.0,178.0,3.0,2.0
910,99990,80,55.0,tcl,55in, LED TV,4K Resolution, 3480x2160pixels,Ultra HD,1,LED,4K Resolution,3480x2160,1.0,1.0,,60.0,,3,32,0.0,178.0,4.0,2.0
911,149990,73,65.0,lg,65in, OLED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,missing,4K Resolution,3840x2160,1.0,1.0,2,20.0,,,,0.0,178.0,3.0,2.0
912,89990,70,55.0,lg,55in, OLED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,missing,4K Resolution,3840x2160,1.0,1.0,2,20.0,,,,0.0,178.0,3.0,2.0
913,14499,51,40.0,coocaa,40in, LED TV,Full HD, 1920x1080pixels,Full HD,1,LED,missing,1920x1080,1.0,1.0,2,30.0,4.0,0.5,4,0.0,178.0,2.0,1.0
914,27990,67,43.0,croma,43in, LED TV,4K Resolution, 3840x2160pixels,missing,1,LED,4K Resolution,3840x2160,1.0,1.0,2,20.0,,2,8,0.0,178.0,3.0,2.0
915,45990,69,55.0,hisense,55in, LED TV,4K Resolution, 3480x2160pixels,Ultra HD,1,missing,4K Resolution,3480x2160,1.0,1.0,2,24.0,,,,0.0,178.0,4.0,2.0
916,264990,89,65.0,samsung,65in, QLED TV,8K Resolution, 7680x4320pixels,Ultra HD,1,QLED,8K Resolution,7680x4320,1.0,1.0,4,60.0,,,,1.0,178.0,4.0,3.0
917,18999,58,43.0,candy,43in, LED TV,Full HD, 1920x1080pixels,missing,1,LED,missing,1920x1080,1.0,1.0,2,20.0,,,32,0.0,178.0,3.0,2.0
918,19999,49,43.0,vu,43in, LED TV,Full HD, 1920x1080pixels,Full HD,1,LED,missing,1920x1080,1.0,1.0,2,20.0,4.0,,,0.0,178.0,2.0,2.0
919,6849,44,24.02,dyanora,24.02in, LED TV,1366x768pixels,missing,missing,1,LED,missing,1366x768,1.0,1.0,2,20.0,,0.5,4,0.0,178.0,2.0,2.0
920,25499,71,50.0,westinghouse,50in, LED TV,4K Resolution, 3840x2160pixels,missing,1,LED,4K Resolution,3840x2160,1.0,1.0,2,40.0,,2,8,0.0,178.0,3.0,2.0
921,7499,47,32.0,westinghouse,32in, LED TV,1366x768pixels,missing,missing,1,LED,missing,1366x768,1.0,1.0,2,20.0,,1,8,0.0,178.0,2.0,
922,74990,80,55.0,vu,55in, QLED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,QLED,4K Resolution,3840x2160,1.0,1.0,4,100.0,,3,16,0.0,178.0,4.0,2.0
923,34990,55,43.0,toshiba,43in, LED TV,Full HD, 1920x1080pixels,Full HD,1,missing,missing,1920x1080,1.0,1.0,2,20.0,,1,8,0.0,178.0,2.0,2.0
924,13999,53,32.0,ndgo,32in, LED TV,Full HD, 1920x1080pixels,missing,1,LED,missing,1920x1080,1.0,0.0,2,30.0,,1,8,0.0,178.0,2.0,2.0
925,15990,49,32.0,lg,32in, LED TV,1366x768pixels,missing,HD,1,LED,missing,1366x768,1.0,1.0,2,20.0,,1,8,0.0,178.0,2.0,1.0
926,39990,71,43.0,panasonic,43in, LED TV,4K Resolution, 3840x2160pixels,missing,1,LED,4K Resolution,3840x2160,1.0,1.0,2,20.0,,2,16,0.0,178.0,3.0,2.0
927,10490,46,31.5,sansui,31.5in, LED TV,1366x768pixels,missing,HD,1,LED,missing,1366x768,1.0,1.0,2,20.0,,0.5,4,0.0,178.0,2.0,1.0
928,69999,73,50.0,sony,50in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,1.0,2,20.0,,,16,0.0,178.0,4.0,2.0
929,72990,70,50.0,samsung,50in, QLED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,QLED,4K Resolution,3840x2160,1.0,1.0,2,20.0,,,,0.0,178.0,4.0,2.0
930,65999,68,50.0,sony,50in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,0.0,2,30.0,,,16,0.0,178.0,3.0,2.0
931,90990,78,55.0,samsung,55in, QLED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,QLED,4K Resolution,3840x2160,1.0,1.0,4,40.0,,,,0.0,178.0,4.0,2.0
932,42999,70,55.0,lloyd,55in, LED TV,4K Resolution, 3840x2160pixels,missing,1,LED,4K Resolution,3840x2160,1.0,0.0,2,20.0,,,,0.0,178.0,3.0,2.0
933,17590,48,32.0,lg,32in, LED TV,1366x768pixels,missing,missing,1,LED,missing,1366x768,1.0,1.0,2,20.0,,,,0.0,178.0,2.0,1.0
934,33990,62,55.0,croma,55in, LED TV,4K Resolution, 3480x2160pixels,missing,1,LED,4K Resolution,3480x2160,1.0,1.0,2,20.0,,,,0.0,178.0,3.0,2.0
935,28990,62,50.0,croma,50in, LED TV,4K Resolution, 3840x2160pixels,missing,1,LED,4K Resolution,3840x2160,1.0,1.0,2,20.0,,,,0.0,178.0,2.0,3.0
936,13490,49,32.0,hyundai,32in, LED TV,1366x768pixels,missing,HD,1,LED,missing,1366x768,1.0,1.0,2,16.0,4.0,1,8,0.0,178.0,2.0,2.0
937,11490,49,32.0,hyundai,32in, LED TV,1366x768pixels,missing,HD,1,LED,missing,1366x768,1.0,1.0,2,16.0,4.0,1,8,0.0,178.0,2.0,2.0
938,9999,49,32.0,hyundai,32in, LED TV,1366x768pixels,missing,HD,1,LED,missing,1366x768,1.0,1.0,2,20.0,4.0,1.5,8,0.0,178.0,3.0,2.0
939,20999,52,43.0,hyundai,43in, LED TV,Full HD, 1920x1080pixels,Full HD,1,LED,missing,1920x1080,1.0,1.0,2,16.0,4.0,1,8,0.0,178.0,2.0,2.0
940,22990,69,43.0,hyundai,43in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,1.0,2,16.0,4.0,1.5,8,0.0,178.0,3.0,2.0
941,7999,34,32.0,hyundai,32in, LED TV,missing,1366x768pixels,HD,0,LED,missing,1366x768,,,2,16.0,,,,0.0,178.0,2.0,2.0
942,26999,68,50.0,hyundai,50in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,1.0,2,16.0,4.0,1.5,8,0.0,178.0,3.0,2.0
943,58990,71,43.0,samsung,43in, QLED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,QLED,4K Resolution,3840x2160,1.0,0.0,2,20.0,,,,0.0,178.0,4.0,2.0
944,124990,81,65.0,samsung,65in, QLED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,QLED,4K Resolution,3840x2160,1.0,1.0,2,20.0,,,,0.0,178.0,4.0,2.0
945,33000,58,43.0,motorola,43in, LED TV,Full HD, 1920x1080pixels,Full HD,1,LED,missing,1920x1080,1.0,1.0,2,24.0,,2,8,0.0,178.0,2.0,2.0
946,99999,80,55.0,xiaomi,55in, OLED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,missing,4K Resolution,3840x2160,1.0,1.0,8,30.0,4.0,3,32,0.0,178.0,3.0,2.0
947,389990,83,75.0,samsung,75in, QLED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,QLED,4K Resolution,3840x2160,1.0,1.0,4.2.2,60.0,,,,0.0,178.0,4.0,2.0
948,21999,57,43.0,realme,43in, LED TV,Full HD, 1920x1080pixels,Full HD,1,LED,missing,1920x1080,1.0,1.0,4,24.0,4.0,1,8,0.0,178.0,3.0,2.0
949,117999,81,75.0,samsung,75in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,1.0,2,20.0,,,,0.0,178.0,3.0,2.0
950,57000,74,55.0,samsung,55in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,1.0,2,20.0,,,,0.0,178.0,3.0,2.0
951,89990,79,65.0,samsung,65in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,1.0,2,20.0,,,,0.0,178.0,3.0,2.0
952,64990,69,55.0,samsung,55in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,1.0,2,20.0,,,,0.0,178.0,3.0,2.0
953,102990,74,65.0,samsung,65in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,1.0,,,,,,0.0,178.0,3.0,2.0
954,64990,73,50.0,samsung,50in, QLED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,QLED,4K Resolution,3840x2160,1.0,1.0,2,20.0,,,,0.0,178.0,3.0,2.0
955,119990,79,65.0,samsung,65in, QLED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,QLED,4K Resolution,3840x2160,1.0,1.0,2,20.0,,,,0.0,178.0,3.0,2.0
956,99899,79,50.0,samsung,50in, QLED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,QLED,4K Resolution,3840x2160,1.0,1.0,,40.0,,,,0.0,178.0,4.0,2.0
957,42490,65,43.0,samsung,43in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,1.0,2,20.0,,,,0.0,178.0,3.0,2.0
958,130990,82,65.0,samsung,65in, QLED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,QLED,4K Resolution,3840x2160,1.0,1.0,,60.0,,,,0.0,178.0,4.0,2.0
959,674990,93,75.0,samsung,75in, QLED TV,8K Resolution, 7680x4320pixels,Ultra HD,1,QLED,8K Resolution,7680x4320,1.0,1.0,,70.0,,,,1.0,178.0,4.0,3.0
960,69990,66,50.0,samsung,50in, QLED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,QLED,4K Resolution,3840x2160,1.0,0.0,4,40.0,,,,0.0,178.0,4.0,2.0
961,54990,71,43.0,samsung,43in, QLED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,QLED,4K Resolution,3840x2160,1.0,1.0,2,20.0,,,,0.0,178.0,3.0,2.0
962,159990,84,65.0,samsung,65in, QLED TV,4K Resolution, 3840x2160pixels,missing,1,QLED,4K Resolution,3840x2160,1.0,1.0,,60.0,,,,0.0,178.0,4.0,2.0
963,104990,82,55.0,samsung,55in, QLED TV,4K Resolution, 3840x2160pixels,missing,1,QLED,4K Resolution,3840x2160,1.0,1.0,,60.0,,,,0.0,178.0,4.0,2.0
964,320890,90,65.0,samsung,65in, QLED TV,8K Resolution, 7680x4320pixels,Ultra HD,1,QLED,8K Resolution,7680x4320,1.0,1.0,,70.0,,,,1.0,178.0,4.0,3.0
965,130990,84,55.0,samsung,55in, QLED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,QLED,4K Resolution,3840x2160,1.0,1.0,,60.0,,,,0.0,178.0,4.0,3.0
