,brand,tv_type,resolution,resolution_type,x_resolution,y_resolution,screen_size,processor_core,processor_ram,processor_inbuilt_storage,num_speakers,speaker_output,hd,has_wifi,has_ethernet,is_smart,is_ultra_slim,viewing_angle,num_hdmi_ports,num_usb_ports,rating,price
664,hisense,qled,4K Resolution,4K Resolution,3840,2160,85.0,,,,,80.0,Ultra HD,1.0,0.0,1.0,,,4.0,2.0,70.0,89999.0
665,acer,led,4K Resolution,4K Resolution,3840,2160,75.0,4.0,2.0,16.0,2.0,24.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,74.0,89890.0
666,xiaomi,led,4K Resolution,4K Resolution,3840,2160,75.0,,3.0,32.0,2.0,25.0,Ultra HD,1.0,1.0,1.0,,,3.0,2.0,71.0,46499.0
667,xiaomi,led,4K Resolution,4K Resolution,3840,2160,65.0,,3.0,32.0,2.0,25.0,Ultra HD,1.0,1.0,1.0,,,3.0,2.0,69.0,34799.0
668,amazon,qled,4K Resolution,4K Resolution,3840,2160,43.0,,,,,,Ultra HD,1.0,1.0,1.0,,,4.0,2.0,63.0,49999.0
669,amazon,led,,missing,1366,768,32.0,,,,2.0,20.0,HD,1.0,0.0,1.0,0.0,178.0,3.0,1.0,44.0,15999.0
670,alt,led,4K Resolution,4K Resolution,3840,2160,55.0,,1.0,,2.0,24.0,Ultra HD,1.0,0.0,1.0,,,2.0,2.0,61.0,28999.0
671,tcl,qd mini led,4K Resolution,4K Resolution,3840,2160,98.0,,4.0,128.0,5.0,60.0,Ultra HD,1.0,0.0,1.0,,,4.0,4.0,75.0,599999.0
672,tcl,qd led,4K Resolution,4K Resolution,3840,2160,65.0,,4.0,64.0,5.0,60.0,Ultra HD,1.0,0.0,1.0,,,4.0,4.0,69.0,95999.0
673,tcl,qd mini led,4K Resolution,4K Resolution,3840,2160,75.0,,4.0,128.0,5.0,60.0,Ultra HD,1.0,0.0,1.0,,,4.0,4.0,73.0,287999.0
674,tcl,qd mini led,4K Resolution,4K Resolution,3840,2160,85.0,,4.0,128.0,5.0,60.0,Ultra HD,1.0,0.0,1.0,,,4.0,4.0,74.0,383999.0
675,aiwa,led,,missing,1366,768,32.0,4.0,1.0,8.0,2.0,20.0,HD,1.0,0.0,1.0,0.0,178.0,2.0,1.0,41.0,13139.0
676,leema,led,Full HD,missing,1920,1080,31.5,,,,2.0,10.0,Full HD,,,0.0,,,2.0,2.0,33.0,6990.0
677,alt,led,4K Resolution,4K Resolution,3840,2160,65.0,,,,2.0,20.0,Ultra HD,1.0,0.0,1.0,,,2.0,2.0,62.0,42999.0
678,samsung,qled,4K Resolution,4K Resolution,3840,2160,65.0,,,,2.0,40.0,Ultra HD,1.0,1.0,1.0,,,4.0,2.0,77.0,179999.0
679,samsung,qled,4K Resolution,4K Resolution,3840,2160,55.0,,,,2.0,40.0,Ultra HD,1.0,1.0,1.0,,,4.0,2.0,75.0,125999.0
680,samsung,qled,4K Resolution,4K Resolution,3840,2160,50.0,,,,2.0,40.0,Ultra HD,1.0,1.0,1.0,,,4.0,2.0,72.0,107999.0
681,samsung,qled,4K Resolution,4K Resolution,3840,2160,75.0,,,,2.0,40.0,Ultra HD,1.0,1.0,1.0,,,4.0,2.0,76.0,224999.0
682,nu,led,4K Resolution,4K Resolution,3840,2160,65.0,4.0,1.5,,2.0,20.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,71.0,48990.0
683,thomson,led,Full HD,missing,1920,1080,40.0,,,,2.0,30.0,Full HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,51.0,15999.0
684,power,led,,missing,1366,768,32.0,,1.5,8.0,2.0,20.0,HD,1.0,1.0,1.0,,,3.0,2.0,50.0,10999.0
685,sansui,led,,missing,1366,768,32.0,,1.0,8.0,2.0,20.0,HD,1.0,1.0,1.0,,,2.0,2.0,47.0,12400.0
686,westinghouse,led,Full HD,missing,1920,1080,40.0,,0.5,4.0,2.0,30.0,Full HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,54.0,12999.0
687,westinghouse,led,,missing,1366,768,24.0,,0.5,4.0,2.0,20.0,HD,1.0,1.0,1.0,0.0,178.0,2.0,2.0,48.0,6499.0
688,sony,oled,4K Resolution,4K Resolution,3480,2160,83.0,,,,,60.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,4.0,2.0,86.0,664990.0
689,beethosol,led,Full HD,missing,1920,1080,43.0,,1.0,8.0,2.0,24.0,Full HD,1.0,0.0,1.0,,,2.0,2.0,49.0,14099.0
690,qva,led,Full HD,missing,1920,1080,43.0,,1.0,8.0,2.0,30.0,Full HD,1.0,0.0,1.0,0.0,178.0,2.0,2.0,53.0,17899.0
691,jvc,qled,4K Resolution,4K Resolution,3840,2160,58.0,,2.0,16.0,2.0,24.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,4.0,2.0,73.0,52990.0
692,jvc,qled,4K Resolution,4K Resolution,3840,2160,65.0,,2.0,16.0,2.0,24.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,4.0,2.0,75.0,67490.0
693,wybor,led,,missing,1366,768,32.0,,,,2.0,24.0,HD,1.0,0.0,1.0,0.0,178.0,2.0,2.0,41.0,9890.0
694,bitpro,led,4K Resolution,4K Resolution,3840,2160,65.0,,,,2.0,20.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,70.0,39990.0
695,trusense,led,4K Resolution,4K Resolution,3840,2160,55.0,,1.5,8.0,2.0,24.0,Ultra HD,1.0,0.0,1.0,0.0,178.0,3.0,2.0,68.0,43998.0
696,bitpro,led,4K Resolution,4K Resolution,3840,2160,60.0,,,,2.0,20.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,69.0,50430.0
697,sens,led,,missing,1366,768,32.0,,,,2.0,24.0,HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,49.0,11999.0
698,hisense,laser,4K Resolution,4K Resolution,3840,2160,90.0,,,,2.0,30.0,Ultra HD,1.0,1.0,1.0,1.0,,2.0,2.0,64.0,247999.0
699,limeberry,led,Full HD,missing,1920,1080,42.91,,1.0,8.0,2.0,24.0,Full HD,1.0,1.0,1.0,0.0,178.0,2.0,2.0,55.0,18699.0
700,aiwa,led,4K Resolution,4K Resolution,3840,2160,55.0,,2.0,16.0,2.0,30.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,73.0,29990.0
701,impex,led,4K Resolution,4K Resolution,3840,2160,65.0,,,,,10.0,Ultra HD,1.0,1.0,1.0,,,4.0,2.0,69.0,51210.0
702,qva,led,,missing,1366,768,32.0,,1.0,8.0,2.0,20.0,HD,1.0,1.0,1.0,0.0,178.0,2.0,1.0,49.0,7999.0
703,dyanora,led,4K Resolution,4K Resolution,3840,2160,43.0,,,,2.0,30.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,64.0,20999.0
704,tcl,oled,4K Resolution,4K Resolution,3840,2160,75.0,,,,,,Ultra HD,1.0,1.0,1.0,,,3.0,2.0,79.0,155999.0
705,dyanora,led,4K Resolution,4K Resolution,3840,2160,50.0,,,,2.0,60.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,67.0,24999.0
706,nu,led,Full HD,missing,1920,1080,43.0,4.0,,,2.0,20.0,Full HD,1.0,1.0,1.0,,,3.0,2.0,50.0,19990.0
707,samsung,qled,4K Resolution,4K Resolution,3840,2160,55.0,,2.5,8.0,2.0,20.0,Ultra HD,1.0,1.0,1.0,1.0,,4.0,2.0,74.0,89990.0
708,compaq,led,,missing,1366,768,24.0,,,,2.0,16.0,HD,,,0.0,,,2.0,2.0,31.0,7999.0
709,lg,oled,4K Resolution,4K Resolution,3840,2160,48.0,,2.5,8.0,4.0,40.0,Ultra HD,1.0,1.0,1.0,1.0,,3.0,2.0,77.0,109990.0
710,kodak,qled,4K Resolution,4K Resolution,3840,2160,55.0,,2.0,16.0,2.0,40.0,Ultra HD,1.0,1.0,1.0,,,3.0,2.0,70.0,38999.0
711,kodak,qled,4K Resolution,4K Resolution,3840,2160,50.0,,2.0,16.0,2.0,40.0,Ultra HD,1.0,1.0,1.0,,,3.0,2.0,69.0,35999.0
712,aiwa,led,4K Resolution,4K Resolution,3840,2160,50.0,,,,2.0,15.0,Ultra HD,1.0,0.0,1.0,,,3.0,2.0,62.0,28999.0
713,beston,led,4K Resolution,4K Resolution,3840,2160,50.0,,1.5,8.0,2.0,30.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,71.0,25999.0
714,xelectron,led,,missing,1366,768,32.0,4.0,1.0,8.0,2.0,24.0,HD,1.0,0.0,1.0,0.0,178.0,3.0,2.0,51.0,8399.0
715,lg,oled,4K Resolution,4K Resolution,3840,2160,55.0,,,,,40.0,Ultra HD,1.0,1.0,1.0,,,3.0,2.0,76.0,149900.0
716,aiwa,led,4K Resolution,4K Resolution,3840,2160,55.0,,,,2.0,15.0,Ultra HD,1.0,1.0,1.0,,,3.0,2.0,64.0,39999.0
717,garuda,led,Full HD,missing,1920,1080,43.0,,,,,,Full HD,1.0,0.0,1.0,0.0,178.0,,,39.0,17900.0
718,nu,led,,missing,1366,768,32.0,4.0,,,,10.0,HD,1.0,0.0,1.0,0.0,178.0,3.0,2.0,47.0,11490.0
719,nu,led,4K Resolution,4K Resolution,3840,2160,55.0,4.0,1.5,,,10.0,Ultra HD,1.0,0.0,1.0,0.0,178.0,3.0,2.0,66.0,31990.0
720,lg,oled,4K Resolution,4K Resolution,3840,2160,55.0,,,,,40.0,Ultra HD,1.0,1.0,1.0,,,3.0,2.0,76.0,149900.0
721,dyanora,led,,missing,1366,768,32.0,4.0,,,2.0,20.0,HD,,,0.0,0.0,178.0,2.0,2.0,35.0,7499.0
722,nextview,led,Full HD,missing,1920,1080,24.0,,,,2.0,20.0,Full HD,1.0,0.0,1.0,,,2.0,2.0,45.0,8500.0
723,aiwa,led,4K Resolution,4K Resolution,3840,2160,43.0,,,,2.0,30.0,Ultra HD,1.0,1.0,1.0,,,3.0,2.0,61.0,21999.0
724,garuda,led,,missing,1366,768,32.0,,,,,,HD,,,1.0,0.0,,2.0,2.0,32.0,8999.0
725,adsun,led,,missing,1366,768,32.0,,1.0,8.0,2.0,20.0,HD,1.0,1.0,1.0,0.0,178.0,2.0,2.0,52.0,9475.0
726,lg,led,4K Resolution,4K Resolution,3840,2160,50.0,,,,2.0,20.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,68.0,54990.0
727,samsung,oled,4K Resolution,4K Resolution,3840,2160,77.0,,,,,70.0,Ultra HD,1.0,1.0,1.0,,,4.0,3.0,86.0,499990.0
728,compaq,led,4K Resolution,4K Resolution,3840,2160,65.0,,,,2.0,20.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,71.0,49999.0
729,skytron,led,4K Resolution,4K Resolution,3840,2160,55.0,,,,2.0,30.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,68.0,28999.0
730,sens,led,,missing,1366,768,32.0,,,,2.0,20.0,HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,46.0,8999.0
731,lg,oled,4K Resolution,4K Resolution,3840,2160,65.0,,,,2.0,40.0,Ultra HD,1.0,1.0,1.0,,,4.0,3.0,81.0,199990.0
732,blaupunkt,led,,missing,1366,768,24.0,4.0,,,2.0,20.0,HD,1.0,0.0,1.0,0.0,178.0,2.0,2.0,44.0,7499.0
733,croma,qled,4K Resolution,4K Resolution,3840,2160,55.0,,2.0,16.0,2.0,20.0,Ultra HD,1.0,1.0,1.0,,,3.0,2.0,70.0,58990.0
734,sens,led,4K Resolution,4K Resolution,3840,2160,43.0,,,,2.0,20.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,63.0,22999.0
735,sansui,qled,4K Resolution,4K Resolution,3840,2160,65.0,,2.0,16.0,2.0,20.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,75.0,54990.0
736,akai,led,4K Resolution,4K Resolution,3840,2160,43.0,,1.5,8.0,2.0,20.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,68.0,25890.0
737,sens,led,4K Resolution,4K Resolution,3840,2160,50.0,,,,2.0,20.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,66.0,24999.0
738,sens,led,HD Ready,missing,1280,720,32.0,,,,2.0,20.0,HD,1.0,1.0,1.0,0.0,178.0,2.0,2.0,45.0,10999.0
739,sens,qled,4K Resolution,4K Resolution,3840,2160,55.0,4.0,2.0,16.0,2.0,20.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,72.0,35999.0
740,sens,led,4K Resolution,4K Resolution,3840,2160,55.0,,2.0,16.0,2.0,20.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,72.0,30999.0
741,sens,qled,4K Resolution,4K Resolution,3840,2160,65.0,4.0,2.0,16.0,,,Ultra HD,1.0,1.0,1.0,0.0,178.0,2.0,2.0,72.0,47999.0
742,croma,qled,4K Resolution,4K Resolution,3840,2160,65.0,,2.0,16.0,2.0,20.0,Ultra HD,1.0,1.0,1.0,,,3.0,2.0,71.0,79990.0
743,beethosol,led,,missing,1366,768,32.0,,0.5,4.0,2.0,24.0,HD,1.0,0.0,1.0,,,1.0,2.0,43.0,7299.0
744,tcl,led,4K Resolution,4K Resolution,3840,2160,65.0,,2.0,16.0,2.0,24.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,1.0,74.0,49990.0
745,leema,led,,missing,1366,768,24.0,,,,2.0,10.0,HD,,,0.0,,,1.0,1.0,26.0,6490.0
746,adsun,led,,missing,1366,768,24.0,,,,2.0,20.0,HD,,,0.0,0.0,178.0,1.0,1.0,29.0,5657.0
747,gangnam,led,,missing,1366,768,32.0,,,,2.0,24.0,HD,,,0.0,,,2.0,2.0,29.0,7299.0
748,gangnam,led,,missing,1366,768,32.0,,,,2.0,24.0,HD,1.0,0.0,1.0,,,2.0,2.0,42.0,10900.0
749,starshine,led,,missing,1366,768,32.0,,,,2.0,20.0,HD,1.0,0.0,1.0,,,2.0,2.0,42.0,9899.0
750,lg,led,4K Resolution,4K Resolution,3840,2160,65.0,,,,2.0,20.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,74.0,79990.0
751,starshine,led,Full HD,missing,1920,1080,40.0,,,,2.0,20.0,Full HD,1.0,0.0,1.0,,,2.0,2.0,43.0,16999.0
752,itel,led,,missing,1366,768,24.0,,,,2.0,16.0,HD,,,0.0,,,2.0,2.0,28.0,7499.0
753,,,,,,,,,,,,,,,,,,,,,,
754,amstrad,led,,missing,1366,768,32.0,,1.0,8.0,2.0,16.0,HD,1.0,1.0,1.0,0.0,178.0,2.0,2.0,49.0,14990.0
755,bpl,led,Full HD,missing,1920,1080,43.0,,,,2.0,18.0,Full HD,1.0,1.0,1.0,,,2.0,2.0,50.0,21655.0
756,tcl,led,,missing,1366,768,32.0,,,,2.0,16.0,HD,1.0,0.0,1.0,,,2.0,1.0,39.0,13900.0
757,vw,led,,missing,1366,768,24.0,,,,2.0,20.0,HD,,,1.0,0.0,178.0,2.0,2.0,32.0,5999.0
758,vw,led,,missing,1366,768,32.0,,,,2.0,20.0,HD,,,1.0,0.0,178.0,2.0,2.0,32.0,7299.0
759,panasonic,led,,missing,1366,768,32.0,,1.5,8.0,2.0,20.0,HD,1.0,1.0,1.0,0.0,178.0,2.0,2.0,50.0,17999.0
760,huawei,led,4K Resolution,4K Resolution,3840,2160,65.0,8.0,6.0,64.0,50.0,25.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,86.0,75990.0
761,huawei,led,4K Resolution,4K Resolution,3840,2160,75.0,6.0,6.0,64.0,2.0,50.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,82.0,89990.0
762,letv,led,4K Resolution,4K Resolution,3840,2160,70.0,,3.0,32.0,2.0,20.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,2.0,2.0,73.0,29990.0
763,onida,led,4K Resolution,4K Resolution,3840,2160,50.0,,1.5,8.0,2.0,20.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,2.0,1.0,64.0,29999.0
764,onida,led,4K Resolution,4K Resolution,3840,2160,43.0,,1.5,8.0,2.0,20.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,2.0,1.0,63.0,24999.0
765,tcl,qled,4K Resolution,4K Resolution,3840,2160,55.0,,,,2.0,24.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,2.0,2.0,67.0,36990.0
766,tcl,qled,4K Resolution,4K Resolution,3840,2160,50.0,,,,2.0,24.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,2.0,2.0,65.0,33760.0
767,lg,oled,4K Resolution,4K Resolution,3840,2160,55.0,,,,2.0,20.0,Ultra HD,1.0,1.0,1.0,1.0,178.0,4.0,2.0,79.0,112990.0
768,dyanora,led,,missing,1366,768,32.0,4.0,0.5,4.0,2.0,30.0,HD,1.0,1.0,1.0,0.0,178.0,2.0,2.0,48.0,8499.0
769,sansui,led,4K Resolution,4K Resolution,3840,2160,65.0,,2.0,8.0,2.0,2.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,71.0,51999.0
770,panasonic,led,4K Resolution,4K Resolution,3840,2160,65.0,,2.0,32.0,2.0,20.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,78.0,99840.0
771,intex,led,,missing,1366,768,32.0,,,,2.0,24.0,HD,,,1.0,0.0,178.0,2.0,2.0,34.0,8993.0
772,cornea,led,4K Resolution,4K Resolution,3840,2160,75.0,4.0,2.0,16.0,2.0,30.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,79.0,118999.0
773,coocaa,led,Full HD,missing,1920,1080,43.0,4.0,,,2.0,20.0,Full HD,1.0,1.0,1.0,0.0,178.0,2.0,2.0,52.0,18999.0
774,coocaa,led,,missing,1366,768,32.0,4.0,,,2.0,20.0,HD,1.0,1.0,1.0,0.0,178.0,2.0,2.0,43.0,11499.0
775,xiaomi,led,4K Resolution,4K Resolution,3840,2160,75.0,,3.0,32.0,2.0,,Ultra HD,1.0,1.0,1.0,0.0,178.0,2.0,2.0,75.0,69990.0
776,xiaomi,led,4K Resolution,4K Resolution,3840,2160,70.0,,,,2.0,20.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,2.0,2.0,78.0,259990.0
777,cellecor,led,Full HD,missing,1920,1080,32.0,,,,2.0,48.0,HD,,,0.0,0.0,178.0,1.0,2.0,34.0,8909.0
778,cellecor,led,Full HD,missing,1920,1080,43.0,,,,2.0,48.0,Full HD,1.0,0.0,1.0,0.0,178.0,2.0,2.0,49.0,20899.0
779,cellecor,led,Full HD,missing,1920,1080,32.0,,,,2.0,48.0,Full HD,1.0,1.0,1.0,0.0,178.0,2.0,2.0,48.0,10999.0
780,t-series,led,,missing,1366,768,32.0,,,,2.0,1.0,HD,1.0,1.0,1.0,0.0,178.0,2.0,2.0,42.0,11990.0
781,compaq,led,4K Resolution,4K Resolution,3840,2160,50.0,,1.5,8.0,2.0,20.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,2.0,2.0,68.0,24999.0
782,cellecor,led,Full HD,missing,1920,1080,40.0,,,,2.0,48.0,Full HD,1.0,0.0,1.0,0.0,178.0,2.0,2.0,48.0,16999.0
783,cellecor,led,,missing,1366,768,24.0,,,,2.0,40.0,HD,,,0.0,0.0,178.0,1.0,2.0,31.0,6399.0
784,intex,led,4K Resolution,4K Resolution,3840,2160,65.0,,1.5,8.0,2.0,20.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,,71.0,42999.0
785,acer,led,Full HD,missing,1920,1080,40.0,,1.5,8.0,2.0,24.0,Full HD,1.0,1.0,1.0,0.0,178.0,2.0,2.0,56.0,16999.0
786,panasonic,led,4K Resolution,4K Resolution,3840,2160,43.0,,2.0,16.0,2.0,20.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,2.0,2.0,70.0,34990.0
787,onida,led,,missing,1366,768,32.0,,1.5,8.0,2.0,20.0,HD,1.0,1.0,1.0,0.0,178.0,3.0,1.0,52.0,12599.0
788,onida,led,Full HD,missing,1920,1080,43.0,,1.5,8.0,2.0,20.0,Full HD,1.0,1.0,1.0,0.0,178.0,3.0,1.0,56.0,21990.0
789,xiaomi,led,4K Resolution,4K Resolution,3840,2160,65.0,,2.0,16.0,2.0,30.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,74.0,40999.0
790,acer,led,4K Resolution,4K Resolution,3840,2160,70.0,,,,,,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,76.0,59999.0
791,intex,led,4K Resolution,4K Resolution,3840,2160,55.0,,1.5,8.0,2.0,20.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,73.0,29999.0
792,lg,led,4K Resolution,4K Resolution,3840,2160,43.0,,,,2.0,20.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,68.0,43950.0
793,smart,led,Full HD,missing,1920,1080,40.0,,,,2.0,24.0,Full HD,1.0,0.0,1.0,0.0,178.0,1.0,2.0,44.0,16898.0
794,smart,led,4K Resolution,4K Resolution,3840,2160,50.0,,,,2.0,24.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,2.0,2.0,60.0,27399.0
795,power,led,4K Resolution,4K Resolution,3840,2160,75.0,,2.0,16.0,2.0,24.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,80.0,89999.0
796,power,led,,missing,1366,768,32.0,,,,2.0,20.0,HD,1.0,1.0,1.0,0.0,178.0,2.0,2.0,48.0,9499.0
797,ndgo,lcd,HD Ready,missing,1260,720,23.0,,,,2.0,20.0,HD,1.0,0.0,1.0,0.0,178.0,2.0,2.0,40.0,10499.0
798,ndgo,led,4K Resolution,4K Resolution,3860,2160,43.0,,,,2.0,30.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,2.0,2.0,60.0,24999.0
799,leema,led,,missing,1366,768,40.0,,,,2.0,28.0,HD,1.0,0.0,1.0,0.0,178.0,1.0,2.0,42.0,12665.0
800,feltron,led,Full HD,missing,1920,1080,43.0,,1.0,,2.0,20.0,Full HD,1.0,0.0,1.0,0.0,178.0,2.0,2.0,47.0,21990.0
801,xelectron,led,4K Resolution,4K Resolution,3840,2160,43.0,4.0,1.0,8.0,2.0,24.0,Ultra HD,1.0,0.0,1.0,0.0,178.0,3.0,2.0,64.0,18990.0
802,iffalcon,led,4K Resolution,4K Resolution,3840,2160,65.0,4.0,2.0,16.0,2.0,19.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,1.0,73.0,51999.0
803,vw,led,,missing,1366,768,32.0,,,,2.0,20.0,HD,1.0,0.0,1.0,0.0,178.0,2.0,2.0,43.0,7999.0
804,,,,,,,,,,,,,,,,,,,,,,
805,,,,,,,,,,,,,,,,,,,,,,
806,,,,,,,,,,,,,,,,,,,,,,
807,,,,,,,,,,,,,,,,,,,,,,
808,compaq,led,4K Resolution,4K Resolution,3840,2160,50.0,,,,2.0,24.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,61.0,31999.0
809,,,,,,,,,,,,,,,,,,,,,,
810,,,,,,,,,,,,,,,,,,,,,,
811,,,,,,,,,,,,,,,,,,,,,,
812,,,,,,,,,,,,,,,,,,,,,,
813,,,,,,,,,,,,,,,,,,,,,,
814,infinix,led,4K Resolution,4K Resolution,3840,2160,50.0,,1.5,16.0,2.0,24.0,Ultra HD,1.0,0.0,1.0,0.0,178.0,3.0,2.0,67.0,24999.0
815,leema,led,Full HD,missing,1920,1080,43.0,,,,2.0,28.0,Full HD,1.0,1.0,1.0,0.0,178.0,1.0,2.0,47.0,14956.0
816,hyundai,led,,missing,1366,768,24.0,,0.5,4.0,2.0,40.0,HD,1.0,1.0,1.0,0.0,178.0,2.0,2.0,45.0,9899.0
817,feltron,led,,missing,1366,768,31.5,,0.5,,2.0,20.0,HD,1.0,1.0,1.0,0.0,178.0,1.0,2.0,41.0,7899.0
818,marq,led,,missing,1366,768,24.0,,,,2.0,24.0,HD,,,0.0,0.0,178.0,2.0,2.0,32.0,5999.0
819,sony,led,4K Resolution,4K Resolution,3840,2160,55.0,,,16.0,2.0,10.0,Ultra HD,0.0,1.0,1.0,0.0,178.0,,,51.0,82480.0
820,iffalcon,led,4K Resolution,4K Resolution,3840,2160,50.0,4.0,2.0,16.0,2.0,24.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,1.0,71.0,29999.0
821,samsung,led,4K Resolution,4K Resolution,840,2160,74.41,,,,2.0,20.0,Ultra HD,1.0,0.0,1.0,0.0,178.0,3.0,2.0,63.0,139990.0
822,acer,led,4K Resolution,4K Resolution,3840,2160,50.0,,2.0,16.0,2.0,60.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,74.0,31999.0
823,power,led,4K Resolution,4K Resolution,3840,2160,50.0,,2.0,16.0,2.0,24.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,73.0,26999.0
824,lg,oled,4K Resolution,4K Resolution,3840,2160,65.0,,,,,40.0,Ultra HD,1.0,0.0,1.0,,,4.0,3.0,76.0,189990.0
825,,,,,,,,,,,,,,,,,,,,,,
826,acer,led,,missing,1366,768,32.0,,1.5,8.0,2.0,40.0,HD,1.0,1.0,1.0,0.0,178.0,2.0,2.0,49.0,12999.0
827,lg,oled,4K Resolution,4K Resolution,3840,2160,65.0,,,,2.0,60.0,Ultra HD,1.0,1.0,1.0,,,4.0,3.0,83.0,249990.0
828,blaupunkt,qled,4K Resolution,4K Resolution,3840,2160,65.0,,,16.0,4.0,60.0,Ultra HD,1.0,0.0,1.0,0.0,178.0,3.0,2.0,73.0,61999.0
829,samsung,qled,4K Resolution,4K Resolution,3840,2160,65.0,,,,4.0,60.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,4.0,2.0,84.0,169990.0
830,kodak,qled,4K Resolution,4K Resolution,3840,2160,50.0,,,16.0,2.0,40.0,Ultra HD,1.0,0.0,1.0,0.0,178.0,3.0,2.0,65.0,31999.0
831,,,,,,,,,,,,,,,,,,,,,,
832,hisense,led,4K Resolution,4K Resolution,3840,2160,50.0,,2.0,16.0,6.0,102.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,73.0,34999.0
833,hisense,led,4K Resolution,4K Resolution,3840,2160,55.0,,2.0,16.0,6.0,102.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,74.0,37999.0
834,,,,,,,,,,,,,,,,,,,,,,
835,lg,led,,missing,1366,768,24.0,,,,2.0,10.0,HD,,,0.0,0.0,8.0,1.0,1.0,26.0,13835.0
836,philips,led,4K Resolution,4K Resolution,3840,2160,50.0,,8.0,4.0,2.0,20.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,4.0,2.0,70.0,40500.0
837,kodak,qled,4K Resolution,4K Resolution,3840,2160,55.0,,,16.0,2.0,40.0,Ultra HD,1.0,0.0,1.0,0.0,178.0,3.0,2.0,66.0,38000.0
838,kodak,qled,4K Resolution,4K Resolution,3840,2160,65.0,,,16.0,2.0,40.0,Ultra HD,1.0,0.0,1.0,0.0,178.0,3.0,2.0,69.0,55999.0
839,panasonic,led,4K Resolution,4K Resolution,3840,2160,55.0,,2.0,,2.0,20.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,69.0,64495.0
840,leema,led,Full HD,missing,1920,1080,50.0,,1.0,8.0,2.0,28.0,Full HD,1.0,1.0,1.0,0.0,178.0,2.0,2.0,53.0,23740.0
