,brand,tv_type,resolution,resolution_type,x_resolution,y_resolution,screen_size,processor_core,processor_ram,processor_inbuilt_storage,num_speakers,speaker_output,hd,has_wifi,has_ethernet,is_smart,is_ultra_slim,viewing_angle,num_hdmi_ports,num_usb_ports,rating,price
548,lg,oled,8K Resolution,8K Resolution,7680,4320,88.0,,,,,60.0,Ultra HD,1.0,1.0,1.0,,,4.0,3.0,93.0,925999.0
549,lg,oled,8K Resolution,8K Resolution,7680,4320,77.0,,,,,60.0,Ultra HD,1.0,1.0,1.0,,,4.0,3.0,92.0,725999.0
550,sansui,led,,missing,1366,768,32.0,,1.0,8.0,2.0,20.0,HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,52.0,11790.0
551,toshiba,mini led,4K Resolution,4K Resolution,3840,2160,85.0,,,,,95.0,Ultra HD,1.0,1.0,1.0,,,4.0,2.0,71.0,315999.0
552,aiwa,led,Full HD,missing,1920,1080,32.0,,,,2.0,16.0,Full HD,1.0,0.0,1.0,0.0,178.0,3.0,1.0,47.0,10999.0
553,xiaomi,led,4K Resolution,4K Resolution,3840,2160,55.0,,3.0,32.0,,30.0,Ultra HD,1.0,1.0,1.0,1.0,,2.0,2.0,77.0,146499.0
554,samsung,qled,4K Resolution,4K Resolution,3840,2160,65.0,,,,2.0,20.0,Ultra HD,1.0,1.0,1.0,1.0,178.0,4.0,2.0,80.0,172900.0
555,limeberry,oled,4K Resolution,4K Resolution,3840,2160,55.0,4.0,2.0,16.0,2.0,10.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,76.0,58299.0
556,toshiba,led,4K Resolution,4K Resolution,3840,2160,43.0,4.0,,,2.0,24.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,67.0,26999.0
557,samsung,led,4K Resolution,4K Resolution,3840,2160,55.0,,,,2.0,20.0,Ultra HD,1.0,1.0,1.0,,,3.0,2.0,69.0,66990.0
558,toshiba,led,Full HD,missing,1920,1080,43.0,4.0,,,2.0,20.0,Full HD,1.0,1.0,1.0,0.0,178.0,2.0,2.0,54.0,21999.0
559,toshiba,led,4K Resolution,4K Resolution,3840,2160,55.0,4.0,,,2.0,24.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,70.0,37999.0
560,toshiba,led,4K Resolution,4K Resolution,3840,2160,50.0,4.0,,,2.0,24.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,69.0,33999.0
561,vu,qled,4K Resolution,4K Resolution,3840,2160,85.0,,3.0,16.0,,136.0,Ultra HD,1.0,1.0,1.0,1.0,178.0,4.0,3.0,90.0,299498.0
562,tcl,qled,4K Resolution,4K Resolution,3840,2160,65.0,,,,2.0,20.0,Ultra HD,1.0,0.0,1.0,0.0,,,,53.0,57399.0
563,tcl,qled,4K Resolution,4K Resolution,3840,2160,85.0,,,,2.0,20.0,Ultra HD,1.0,0.0,1.0,0.0,,,,61.0,180099.0
564,telly,,4K Resolution,4K Resolution,3840,2160,55.0,,,,,,Ultra HD,1.0,0.0,1.0,,,3.0,2.0,54.0,82000.0
565,tcl,led,4K Resolution,4K Resolution,3840,2160,58.0,,,,2.0,20.0,Ultra HD,1.0,0.0,1.0,0.0,178.0,3.0,1.0,65.0,35000.0
566,tcl,led,Full HD,missing,1920,1080,43.0,,,,2.0,19.0,Full HD,1.0,0.0,1.0,0.0,178.0,2.0,1.0,49.0,21000.0
567,tcl,led,4K Resolution,4K Resolution,3840,2160,43.0,,,,2.0,20.0,Ultra HD,1.0,0.0,1.0,0.0,178.0,3.0,1.0,63.0,23000.0
568,tcl,led,4K Resolution,4K Resolution,3840,2160,85.0,,,,2.0,30.0,Ultra HD,1.0,0.0,1.0,0.0,178.0,3.0,1.0,74.0,115000.0
569,tcl,led,4K Resolution,4K Resolution,3840,2160,65.0,,,,2.0,20.0,Ultra HD,1.0,0.0,1.0,0.0,178.0,3.0,1.0,66.0,45000.0
570,tcl,led,4K Resolution,4K Resolution,3840,2160,50.0,,,,2.0,20.0,Ultra HD,1.0,0.0,1.0,0.0,178.0,3.0,1.0,63.0,29000.0
